Submission Time,Age and Data Confirmation,UK region,How was your day?
3/13/2025 14:51,"Yes, I am over the age of 18 and I am happy for you to use the data",East Central England,"Amazingly, I got an interview request from a tech company yesterday!"
3/13/2025 14:51,"Yes, I am over the age of 18 and I am happy for you to use the data",Northern England,Bad but I loved listening to the bubbling of the sopu I made
3/13/2025 14:51,"Yes, I am over the age of 18 and I am happy for you to use the data",East Central England,Glad that I can go to University lol
3/13/2025 14:52,"Yes, I am over the age of 18 and I am happy for you to use the data",Northern England,Happy that I can (barely) afford rent
3/13/2025 14:52,"Yes, I am over the age of 18 and I am happy for you to use the data",Southwest England,Just chilling
4/21/2025 19:58,"Yes, I am over the age of 18 and I am happy for you to use the data",Northern England,I felt great because I went on a scenic walk
4/21/2025 20:03,"Yes, I am over the age of 18 and I am happy for you to use the data",Southwest England,Im feeling so tired and low energy :(
4/21/2025 20:06,"Yes, I am over the age of 18 and I am happy for you to use the data",Northern England,I'm really stressed at work and I can't switch off
5/16/2025 13:32,"Yes, I am over the age of 18 and I am happy for you to use the data",Northern England,"My day is going ok. Chill morning, sunny weather but my curtains are closed. "
5/17/2025 12:12,"Yes, I am over the age of 18 and I am happy for you to use the data",North Wales,Wild
5/17/2025 12:12,"Yes, I am over the age of 18 and I am happy for you to use the data",North Wales,Good 
5/17/2025 12:25,"Yes, I am over the age of 18 and I am happy for you to use the data",North Wales,It was Aight 😌
5/17/2025 12:26,"Yes, I am over the age of 18 and I am happy for you to use the data",North Wales,"I’m okay, I miss my wife but I’m okay 🥲"
5/17/2025 12:43,"Yes, I am over the age of 18 and I am happy for you to use the data",South Wales,"It’s been good so far , just having a chill at home "
5/17/2025 13:27,"Yes, I am over the age of 18 and I am happy for you to use the data",Southwest England,Good
5/17/2025 13:46,"Yes, I am over the age of 18 and I am happy for you to use the data",Southwest England,"My day's going well, just working on a research project at the moment!"
5/17/2025 13:58,"Yes, I am over the age of 18 and I am happy for you to use the data",Southeast England,So far so great
5/17/2025 14:03,"Yes, I am over the age of 18 and I am happy for you to use the data",Southeast England,"Dull - none of my friends live in London anymore, and my colleagues at work are not the kindest."
5/17/2025 14:20,"Yes, I am over the age of 18 and I am happy for you to use the data",East Central England,good
5/17/2025 14:27,"Yes, I am over the age of 18 and I am happy for you to use the data",Southeast England,I am feeling good because I went on a walk
5/17/2025 15:09,"Yes, I am over the age of 18 and I am happy for you to use the data",North Wales,Excellent!
5/17/2025 19:47,"Yes, I am over the age of 18 and I am happy for you to use the data",North Wales,Alright
5/17/2025 20:18,"Yes, I am over the age of 18 and I am happy for you to use the data",Southeast England,Lovely!
5/17/2025 22:42,"Yes, I am over the age of 18 and I am happy for you to use the data",East Central England,"Pretty good, I saw some friends I haven't in a while and they helped me out with some things :)"
5/18/2025 11:32,"Yes, I am over the age of 18 and I am happy for you to use the data",Southeast England,pretty okay
5/19/2025 13:39,"Yes, I am over the age of 18 and I am happy for you to use the data",Northern England,Good
5/20/2025 9:25,"Yes, I am over the age of 18 and I am happy for you to use the data",Northern England,Im feeling really nervous as I have a presentation to talk about in 5 mins 
5/20/2025 19:40,"Yes, I am over the age of 18 and I am happy for you to use the data",East Central England,Just finished writing a bunch of code for an assignment!! I'm so proud of myself :D
5/20/2025 19:43,"Yes, I am over the age of 18 and I am happy for you to use the data",Northern England,"Good! ive walked quite the distance today, got my steps in! weather was nice actually "
5/20/2025 20:11,"Yes, I am over the age of 18 and I am happy for you to use the data",Southwest England,good but boring
5/20/2025 20:15,"Yes, I am over the age of 18 and I am happy for you to use the data",Southwest England,"It was great, I went out and enjoyed the sunshine"
5/21/2025 3:34,"Yes, I am over the age of 18 and I am happy for you to use the data",Southeast England,"normal i guess, just as every day"
5/21/2025 12:38,"Yes, I am over the age of 18 and I am happy for you to use the data",East Scotland,"I'm okay thank you, the sky seems a little gray so I guess it's motivated me to stay home and focus on work rather than having a picnic outside."
